"2020-04-04 21:45:16 [main] INFO  c.m.SpringBootLoggingApplication - Starting SpringBootLoggingApplication on LAPTOP-HUIDBKBK with PID 8352 (G:\spring_workspace\Spring-Boot-Logging\target\classes started by Manivash in G:\spring_workspace\Spring-Boot-Logging)
""2020-04-04 21:45:16 [main] INFO  c.m.SpringBootLoggingApplication - No active profile set, falling back to default profiles: default
""2020-04-04 21:45:17 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2020-04-04 21:45:17 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-04-04 21:45:17 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
""2020-04-04 21:45:17 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-04-04 21:45:17 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 750 ms
""2020-04-04 21:45:17 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-04-04 21:45:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2020-04-04 21:45:18 [main] INFO  c.m.SpringBootLoggingApplication - Started SpringBootLoggingApplication in 1.469 seconds (JVM running for 2.25)
""2020-04-04 21:50:19 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2020-04-04 21:50:19 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
"
